price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,gameName,topprize,topprizestarting,topprizeremain,topprizeavail
25,7639,https://www.illinoislottery.com/games-hub/instant-tickets/1000000-crossword-50x,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7639_Logo.png,2.97,"December 2, 2025",,,,,2026-04-03,"$1,000,000 CROSSWORD 50X",1000000,1,1,
5,7633,https://www.illinoislottery.com/games-hub/instant-tickets/emerald-7s-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7633_Logo.png,4.31,"December 2, 2025",,,,,2026-04-03,EMERALD 7S,400000,1,1,
2,7632,https://www.illinoislottery.com/games-hub/instant-tickets/monopoly,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7632_Logo.png,4.45,"December 2, 2025",,,,,2026-04-03,MONOPOLY,20000,4,4,
20,7624,https://www.illinoislottery.com/games-hub/instant-tickets/2000000-maximum-multiplier,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/26-0210_WebApp_INT_Dec25_NewTicketAssets_MultiplierUpdate_TicketLogos_IL-7624.jpg,3.85,"November 17, 2025",,,,,2026-04-03,"$2,000,000 MAXIMUM MULTIPLIER",1200000,2,2,
10,7631,https://www.illinoislottery.com/games-hub/instant-tickets/bonus-blowout-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/november/IL-7631_Amazing_Bonus_Blowout_Logo_ATPW.png,9.49,"November 4, 2025",,,,,2026-04-03,BONUS BLOWOUT,500,8409,8409,
3,7630,https://www.illinoislottery.com/games-hub/instant-tickets/winter-wonders,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/november/IL-7630_ITVM_Winter_Wonders_Logo@2x.png,4.65,"November 4, 2025",,,,,2026-04-03,WINTER WONDERS,80000,1,1,
30,7623,https://www.illinoislottery.com/games-hub/instant-tickets/royal-riches,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/november/IL-7623_ITVM_Royal_Riches_Logo@2x.png,3.35,"November 4, 2025",,,,,2026-04-03,ROYAL RICHES,1800000,2,2,
20,7629,https://www.illinoislottery.com/games-hub/instant-tickets/1000000-holiday-gold,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/october/26-0137_WebApp_INT_Oct25_NewTicketAssets_TicketLogos_IL-7629_1000000HolidayGold_Logo-ATPW.png,3.37,"October 7, 2025",,,,,2026-04-03,"$1,000,000 HOLIDAY GOLD",600000,0,0,Top Prize Claimed
10,7622,https://www.illinoislottery.com/games-hub/instant-tickets/golden-casino,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/september/26-0091_WebApp_INT_Sep25_NewTicketAssets_TicketLogos_IL-7622_Logo.jpg,3.63,"September 2, 2025",,,,,2026-04-03,GOLDEN CASINO,600000,1,1,
5,7598,https://www.illinoislottery.com/games-hub/instant-tickets/in-the-money,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/february/25-0248_WebApp_INT_Feb25_NewTicketAssets_TicketLogos_IL-7598_InTheMoney_Logo.jpg,4.99,"September 2, 2025",,,,,2026-04-03,IN THE MONEY,400000,1,1,
20,7621,https://www.illinoislottery.com/games-hub/instant-tickets/2000000-diamond-deluxe,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/august/26-0062_WebApp_INT_Aug25_NewTicketAssets_TicketLogos_IL-7621_Logo.png,3.55,"August 5, 2025",,,,,2026-04-03,"$2,000,000 DIAMOND DELUXE",1200000,1,1,
3,7619,https://www.illinoislottery.com/games-hub/instant-tickets/cash-lines-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/august/26-0062_WebApp_INT_Aug25_NewTicketAssets_TicketLogos_IL-7619_Logo.png,4.08,"August 5, 2025",,,,,2026-04-03,CASH LINES,80000,1,1,
5,7620,https://www.illinoislottery.com/games-hub/instant-tickets/cash-grab,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/august/26-0062_WebApp_INT_Aug25_NewTicketAssets_TicketLogos_IL-7620_ATPW.png,3.96,"August 5, 2025",,,,,2026-04-03,,,,,
1,7617,https://www.illinoislottery.com/games-hub/instant-tickets/7-11-21-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/july/26-0033_WebApp_INT_July25_NewTicketAssets_TicketLogos_IL-7617_Logo-1.png,4.79,"July 15, 2025",,,,,2026-04-03,7-11-21,3000,4,4,
10,7615,https://www.illinoislottery.com/games-hub/instant-tickets/ultimate-bonus-payout,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/july/26-0033_WebApp_INT_July25_NewTicketAssets_TicketLogos_IL-7615_Logo.png,3.85,"July 1, 2025",,,,,2026-04-03,ULTIMATE BONUS PAYOUT,600000,1,1,
5,7618,https://www.illinoislottery.com/games-hub/instant-tickets/9s-in-a-line,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/july/26-0033_WebApp_INT_July25_NewTicketAssets_TicketLogos_IL-7618_Logo.png,4.44,"July 1, 2025",,,,,2026-04-03,9S IN A LINE,299999,1,1,
30,7599,https://www.illinoislottery.com/games-hub/instant-tickets/blowout-x,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/june/25-0420_WebApp_INT_June25_NewTicketAssets_TicketLogos_IL-7599_Logo.png,6.61,"July 1, 2025",,,,,2026-04-03,BLOWOUT X,3000,372,372,
2,7613,https://www.illinoislottery.com/games-hub/instant-tickets/triple-dynamite-777-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/june/25-0420_WebApp_INT_June25_NewTicketAssets_TicketLogos_IL-7613_Logo.png,4.2,"June 3, 2025",,,,,2026-04-03,TRIPLE DYNAMITE 777,25000,1,1,
10,7616,https://www.illinoislottery.com/games-hub/instant-tickets/1000000-cash-chaser,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/june/25-0420_WebApp_INT_June25_NewTicketAssets_TicketLogos_IL-7616_Logo.png,4.15,"June 3, 2025",,,,,2026-04-03,"$1,000,000 CA$H CHA$ER",600000,1,1,
5,7614,https://www.illinoislottery.com/games-hub/instant-tickets/jurassic-park,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/june/25-0420_WebApp_INT_June25_NewTicketAssets_TicketLogos_IL-7614_Logo.png,4.23,"June 3, 2025",,,,,2026-04-03,JURASSIC WORLD FRANCHISE,400000,1,1,
50,7611,https://www.illinoislottery.com/games-hub/instant-tickets/millionaire-club-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/may/logos/25-0400_WebApp_INT_May25_NewTicketAssets_TicketLogos_IL-7611_MillionaireClub_Logo.jpg,4.2,"May 6, 2025",,,,,2026-04-03,MILLIONAIRE CLUB,600000,31,31,
5,7612,https://www.illinoislottery.com/games-hub/instant-tickets/super-cash-blowout,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/may/logos/25-0400_WebApp_INT_May25_NewTicketAssets_TicketLogos_IL-7612_SuperCashBlowout_Logo.jpg,5.73,"May 6, 2025",,,,,2026-04-03,SUPER CASH BLOWOUT,200,926,926,
3,7609,https://www.illinoislottery.com/games-hub/instant-tickets/super-7s-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/may/logos/25-0400_WebApp_INT_May25_NewTicketAssets_TicketLogos_IL-7609_Super7s_Logo.jpg,3.84,"May 6, 2025",,,,,2026-04-03,,,,,
2,7605,https://www.illinoislottery.com/games-hub/instant-tickets/big-bucks,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/april/logos/25-0352_WebApp_INT_Apr25_NewTicketAssets_TicketLogos_IL-7605_BigBucks_Logo.jpg,4.49,"April 1, 2025",,,,,2026-04-03,,,,,
20,7603,https://www.illinoislottery.com/games-hub/instant-tickets/multiplier-madness,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/march/25-0299_WebApp_INT_Mar25_NewTicketAssets_TicketLogos_IL-7603_MultiplilerMadness-ATPW.jpg,3.35,"March 4, 2025",,,,,2026-04-03,MULTIPLIER MADNESS,1200000,0,0,Top Prize Claimed
5,7601,https://www.illinoislottery.com/games-hub/instant-tickets/more-money,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/march/25-0299_WebApp_INT_Mar25_NewTicketAssets_TicketLogos_IL-7601_MoreMoney_Logo.jpg,4.33,"March 4, 2025",,,,,2026-04-03,MORE MONEY,400000,1,1,
5,7600,https://www.illinoislottery.com/games-hub/instant-tickets/5-times-lucky,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/february/25-0248_WebApp_INT_Feb25_NewTicketAssets_TicketLogos_IL-7600_5TimesLucky_Logo.jpg,3.96,"February 4, 2025",,,,,2026-04-03,5 TIMES LUCKY,255555,1,1,
1,7591,https://www.illinoislottery.com/games-hub/instant-tickets/5x-the-cash-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/january/25-0213_WebApp_INT_Jan25_NewTicketAssets_TicketLogos_IL-7591_5XtheCash_Logo-ATPW.jpg,4.71,"January 7, 2025",,,,,2026-04-03,,,,,
2,7592,https://www.illinoislottery.com/games-hub/instant-tickets/10x-the-cash-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/january/25-0213_WebApp_INT_Jan25_NewTicketAssets_TicketLogos_IL-7592_10xtheCash_Logo.jpg,4.3,"January 7, 2025",,,,,2026-04-03,10X THE CASH,50000,3,3,
30,7590,https://www.illinoislottery.com/games-hub/instant-tickets/200x-the-cash,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/january/25-0213_WebApp_INT_Jan25_NewTicketAssets_TicketLogos_IL-7590_200xtheCash_Logo.jpg,3.18,"January 7, 2025",,,,,2026-04-03,200X THE CASH,1800000,1,1,
1,7596,https://www.illinoislottery.com/games-hub/instant-tickets/loose-change-multiplier-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/november/25-0253_WebApp_INT_June23_NewTicketAssets_Logo.jpg,4.65,"November 7, 2024",,,,,2026-04-03,LOOSE CHANGE MULTIPLIER,1000,2,2,
50,7575,https://www.illinoislottery.com/games-hub/instant-tickets/10000000-bankroll,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/november/25-0161_WebApp_INT_Nov24_NewTicketAssets_Website_TicketLogos_IL-7575_10000000Bankroll_Logo.jpg,4.08,"November 5, 2024",,,,,2026-04-03,"$10,000,000 BANKROLL",6000000,1,1,
5,7588,https://www.illinoislottery.com/games-hub/instant-tickets/7x-bingo-multiplier,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/25-0193-01_WebApp_INT_Dec24_NewTicketAssets_BingoMultiplier_Website_TicketLogos_IL-7588_7XBingoMultiplier_Logo+Bug.jpg,3.99,"October 29, 2024",,,,,2026-04-03,7X BINGO MULTIPLIER,200000,3,3,
20,7556,https://www.illinoislottery.com/games-hub/instant-tickets/maximum-money-blowout-2024,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/july/24-0416_WebApp_INT_July24_NewTicketAssets_Website_TicketLogos_IL-7556_MaximumMoneyBlowout_Logo.jpg,9.6,"June 26, 2024",,,,,2026-04-03,MAXIMUM MONEY BLOWOUT,2000,254,254,
3,7566,https://www.illinoislottery.com/games-hub/instant-tickets/king-crossword,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/july/24-0416_WebApp_INT_July24_NewTicketAssets_Website_TicketLogos_IL-7566_KingCrossword_Logo.jpg,3.73,"June 24, 2024",,,,,2026-04-03,KING CROSSWORD,50000,4,4,
20,7570,https://www.illinoislottery.com/games-hub/instant-tickets/2000000-cashfall,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/june/24-0363_WebApp_INT_June24_NewTicketAssets_Website_TicketLogos_IL-7570_2000000Cashfall_Logo.jpg,3.16,"June 4, 2024",,,,,2026-04-03,"$2,000,000 CASHFALL",1200000,1,1,
20,7563,https://www.illinoislottery.com/games-hub/instant-tickets/2000000-celebration,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/may/24-0338_WebApp_INT_May24_NewTicketAssets_Website_TicketLogos_IL-7563_2000000Celebration_Logo.jpg,3.16,"May 7, 2024",,,,,2026-04-03,"$2,000,000* CELEBRATION",1200000,1,1,
30,7555,https://www.illinoislottery.com/games-hub/instant-tickets/cash-is-king,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2024/march/24-0270_WebApp_INT_Mar24_NewTicketAssets_TicketLogos_IL-7555_Logo.png,2.87,"March 5, 2024",,,,,2026-04-03,CASH IS KING,1800000,1,1,
10,7530,https://www.illinoislottery.com/games-hub/instant-tickets/40-million-mega-bucks,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2023/september/24-0064_WebApp_INT_Sep23_NewTicketAssets_NewTicketAssets_Website_TicketsLogosIL-7530_logo.png,3.57,"September 5, 2023",,,,,2026-04-03,$40 MILLION MEGA BUCKS,600000,1,1,
10,7454,https://www.illinoislottery.com/games-hub/instant-tickets/100-000-000-cash-spectacular,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/march-instant-tickets/IL-7454_Logo.png,3.49,"March 1, 2022",,,,,2026-04-03,"$100,000,000 CA$H SPECTACULAR!",500000,1,1,
